desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.193996,-0.512992,0.585996,4.44367e-06,8.11687e-06,4.12432e-06,0.424754
-0.204,-0.513,0.586,-0.204008,-0.513,0.586001,8.42782e-06,3.09873e-07,1.15871e-06,0.413501
-0.214,-0.513,0.586,-0.214009,-0.513001,0.586001,8.55586e-06,5.50346e-07,1.08973e-06,0.412917
-0.204,-0.513,0.586,-0.203997,-0.512992,0.585998,2.81112e-06,8.47537e-06,1.9086e-06,0.368938
-0.204,-0.503,0.586,-0.204002,-0.502992,0.585994,1.58311e-06,8.28343e-06,5.65545e-06,0.365533
-0.204,-0.513,0.586,-0.203996,-0.513006,0.586002,4.17303e-06,6.24392e-06,1.85407e-06,0.403855
-0.204,-0.523,0.586,-0.203996,-0.523007,0.586007,4.24597e-06,6.52497e-06,6.70053e-06,0.40809
-0.204,-0.513,0.586,-0.204002,-0.512993,0.585994,1.71441e-06,7.35235e-06,5.74889e-06,0.388513
-0.204,-0.513,0.596,-0.203999,-0.512997,0.596018,1.10534e-06,3.01692e-06,1.81916e-05,0.395366
-0.204,-0.513,0.586,-0.204002,-0.512997,0.585989,1.86083e-06,3.10068e-06,1.0975e-05,0.392138
-0.204,-0.513,0.576,-0.203998,-0.512998,0.575989,1.71752e-06,2.10683e-06,1.14036e-05,0.406262
-0.204,-0.513,0.586,-0.204001,-0.512995,0.586015,1.10653e-06,5.23056e-06,1.50909e-05,0.399603
-0.209774,-0.518774,0.580226,-0.20978,-0.518774,0.580226,6.02279e-06,7.67332e-07,2.03886e-07,0.391823
-0.204,-0.513,0.586,-0.203997,-0.512995,0.585996,3.0597e-06,5.32087e-06,3.73718e-06,0.387152
-0.209774,-0.518774,0.591774,-0.209781,-0.518776,0.591781,7.21943e-06,2.34724e-06,7.69898e-06,0.390922
-0.204,-0.513,0.586,-0.203997,-0.512992,0.585995,3.19962e-06,7.94367e-06,5.43018e-06,0.387354
-0.209774,-0.507226,0.580226,-0.209776,-0.507224,0.580217,2.19249e-06,2.42574e-06,9.57594e-06,0.372916
-0.204,-0.513,0.586,-0.203992,-0.512998,0.586011,7.8794e-06,2.45531e-06,1.11169e-05,0.368334
-0.209774,-0.507226,0.591774,-0.209775,-0.507222,0.591791,1.64942e-06,4.51971e-06,1.72647e-05,0.388684
-0.204,-0.513,0.586,-0.203993,-0.512998,0.585987,6.59014e-06,1.77567e-06,1.29202e-05,0.384433
-0.198226,-0.518774,0.580226,-0.198219,-0.518772,0.580215,7.72713e-06,1.58343e-06,1.17599e-05,0.37486
-0.204,-0.513,0.586,-0.204002,-0.512997,0.586015,2.4922e-06,3.47236e-06,1.46545e-05,0.4162
-0.198226,-0.518774,0.591774,-0.19822,-0.518771,0.591788,6.56235e-06,2.21807e-06,1.4275e-05,0.383723
-0.204,-0.513,0.586,-0.204002,-0.512997,0.585991,1.66941e-06,2.7858e-06,8.68434e-06,0.398826
-0.198226,-0.507226,0.580226,-0.198225,-0.507217,0.580217,1.61444e-06,9.24487e-06,9.0658e-06,0.373559
-0.204,-0.513,0.586,-0.204007,-0.513004,0.586009,7.23598e-06,3.51879e-06,9.05252e-06,0.386858
-0.198226,-0.507226,0.591774,-0.198225,-0.50722,0.591768,1.25719e-06,6.14735e-06,5.65609e-06,0.364469
-0.204,-0.513,0.586,-0.204009,-0.513,0.585999,8.83372e-06,2.3108e-07,1.22164e-06,0.353442
